,platforms,category
"

   EXPOSING IMAGE FORGERY THROUGH THE DETECTION OF CONTRAST ENHANCEMENT

",N/A,TO
"

   Forensic Analysis of Wickr Application on Android Devices

",Android,TO
"

   Anti-forensics with a small army of exploits

",Windows,"AW, DH, AT,TO"
"

   Digital Forensics Latest Challenges and Response

","Windows, Linux, macOS, Android, iOS","TO, DH, AW, AT"
"

   MIXED-STRATEGY NASH EQUILIBRIUM IN THE CAMERA SOURCE IDENTIFICATION GAME

",N/A,TO
"

   Forensic Artifacts Left By Virtual Disk Encryption Tools

",Windows,DH
"

   UNDETECTABLE IMAGE TAMPERING THROUGH JPEG COMPRESSION ANTI-FORENSICS

",N/A,TO
"

   Malware Forensics Discovery of the Intent of Deception

",N/A,"AT, DH"
"

   A new anti-forensic tool based on a simple data encryption scheme

","Windows, Linux","DH, TO"
"

   A New Technique for Removing Forensically Detectable Traces from Digital Images

",N/A,TO
"

   The VAD tree A process-eye view of physical memory

",Windows,DH
"

   ANTI-FORENSICS FOR FRAME DELETION/ADDITION IN MPEG VIDEO

",N/A,TO
"

   Teaching Digital Forensics Techniques Within Linux Environments

",linux,"PIA, DH, AT"
"

   Automatic, Selective and Secure Deletion of Digital Evidence

",Windows,"AW, AT, DH"
"

   A Modified Anti-Forensic Technique for Removing Detectable Traces from Digital Images

",N/A,TO
"

   On the Construction of a False Digital Alibi on the Android OS

",Android,"TO, AW, PIA"
"

   Defense Technology of Anti Forensic

",,"DH, TO, AW"
"

   Formal Digital Investigation of Anti-forensic Attacks

",N/A,"AT, DH, AW, TO"
"

   iOS anti-forensics How can we securely conceal, delete and insert data?

",iOS,"TO, AW, DH"
"

   Asynchronous Forensic Investigative Approach to Recover Deleted Data from Instant Messaging Applications

",Android,N/A
Survey  of  data  remaining  on  second  hand memory  cards  in  the  UK  ?,"Android, Windows",N/A
"
   Densely Connected Convolutional Neural Network for Multi-purpose Image Forensics under Anti-forensic Attacks
",N/A,TO
"
   Generating Higher-Quality Anti-Forensics DeepFakes with Adversarial Sharpening Mask
",N/A,AAF
"
   Improving JPEG Image Anti-forensics
",N/A,TO
"
   New Approach on Steganalysis Reverse-Engineering based Steganography SW Analysis
",N/A,AT
"
   JPEG Anti-forensics Using Non-parametric DCT Quantization Noise Estimation and Natural Image Statistics
",N/A,TO
"
   Anti-Forensics of Contrast Enhancement in Digital Images
",N/A,TO
"
   Forensics and counter anti-forensics of video inter-frame forgery
",N/A,TO
